Time,No. Steps,Total Reward,final_position,Episode Length
0.014127254486083984,2225077,25.0,1.0,332
0.03803133964538574,2237471,25.0,1.0,307
0.018393993377685547,2249515,25.0,1.0,353
0.023934602737426758,2260925,25.0,1.0,308
0.02098679542541504,2273290,25.0,1.0,302
0.04246115684509277,2285176,25.0,1.0,298
0.017738819122314453,2297753,25.0,1.0,287
0.007343292236328125,2309795,15.0,0.7817146472635242,249
0.007523775100708008,2321118,25.0,1.0,306
0.023487091064453125,2333475,25.0,1.0,353
0.03001856803894043,2345606,25.0,1.0,384
0.0251157283782959,2357332,25.0,1.0,306
0.016337156295776367,2369086,25.0,1.0,308
0.014096736907958984,2380123,25.0,1.0,288
0.023542404174804688,2392525,25.0,1.0,290
0.01789546012878418,2403850,25.0,1.0,338
0.03360152244567871,2415708,15.0,0.7801328693451439,224
0.030072689056396484,2427120,25.0,1.0,280
0.01456308364868164,2438635,25.0,1.0,286
0.017590761184692383,2450671,25.0,1.0,307
0.04878807067871094,2463702,25.0,1.0,307
0.03188729286193848,2475888,25.0,1.0,285
0.011718511581420898,2488412,25.0,1.0,288
0.039565324783325195,2500835,25.0,1.0,299
0.007284879684448242,2512566,15.0,0.7801328693451439,305
0.010790109634399414,2524315,25.0,1.0,295
0.03240656852722168,2536948,25.0,1.0,305
0.014633893966674805,2549127,25.0,1.0,284
0.044431209564208984,2561285,25.0,1.0,292
0.019506454467773438,2572815,25.0,1.0,293
0.030865907669067383,2585170,25.0,1.0,294
0.018254756927490234,2597427,25.0,1.0,379
0.008624553680419922,2609732,25.0,1.0,340
0.007854700088500977,2621029,25.0,1.0,286
0.024890422821044922,2632653,25.0,1.0,305
0.04313921928405762,2645077,15.0,0.7779183802594116,241
0.04026007652282715,2657796,25.0,1.0,281
0.00747370719909668,2669422,25.0,1.0,283
0.02994823455810547,2681182,25.0,1.0,292
0.02059006690979004,2693123,25.0,1.0,369
0.018113136291503906,2705651,25.0,1.0,279
0.018105745315551758,2717198,25.0,1.0,287
0.015190601348876953,2735703,18.0,0.9016134134767478,2005
0.011391401290893555,2746987,25.0,1.0,292
0.01884746551513672,2758189,25.0,1.0,284
0.017112255096435547,2769568,15.0,0.7826637140145524,231
0.012353181838989258,2781398,25.0,1.0,285
0.019763469696044922,2792454,15.0,0.78044922492882,243
0.042569637298583984,2804645,25.0,1.0,289
0.023090124130249023,2815820,25.0,1.0,280
0.014349937438964844,2827769,25.0,1.0,293
0.027977943420410156,2839659,25.0,1.0,282
0.02933955192565918,2851668,15.0,0.7801328693451439,281
0.04824352264404297,2863979,25.0,1.0,275
0.03100419044494629,2876022,25.0,1.0,282
0.025062084197998047,2887061,11.0,0.5757671622904145,156
0.00760340690612793,2898676,25.0,1.0,294
0.017629146575927734,2909992,25.0,1.0,292
0.010677337646484375,2921746,25.0,1.0,283
0.017447710037231445,2933375,25.0,1.0,288
0.007679939270019531,2945427,25.0,1.0,279
0.017113685607910156,2957184,15.0,0.7801328693451439,217
0.04804682731628418,2969320,25.0,1.0,283
0.01822376251220703,2980894,25.0,1.0,284
0.011081695556640625,2993501,25.0,1.0,680
0.010926485061645508,3005184,25.0,1.0,286
0.007367849349975586,3017213,25.0,1.0,279
0.013803720474243164,3029160,25.0,1.0,288
0.007670879364013672,3041234,25.0,1.0,317
0.010839700698852539,3052594,25.0,1.0,298
0.01978015899658203,3065062,25.0,1.0,282
0.013866186141967773,3078153,25.0,1.0,277
0.024240970611572266,3091607,25.0,1.0,278
0.012299776077270508,3104457,25.0,1.0,295
0.019212722778320312,3115879,25.0,1.0,297
0.011666059494018555,3127198,25.0,1.0,280
0.018601417541503906,3139012,25.0,1.0,279
0.008010387420654297,3150445,25.0,1.0,283
0.011707305908203125,3161860,25.0,1.0,279
0.011414527893066406,3173319,25.0,1.0,282
0.011418342590332031,3184613,25.0,1.0,282
0.015471458435058594,3196195,25.0,1.0,283
0.018759727478027344,3207993,25.0,1.0,286
0.007805824279785156,3219750,25.0,1.0,297
0.019318342208862305,3231034,25.0,1.0,291
0.011275768280029297,3242432,25.0,1.0,330
0.019147634506225586,3254125,25.0,1.0,276
0.011810302734375,3266091,25.0,1.0,281
0.0077593326568603516,3277507,25.0,1.0,296
0.007729053497314453,3289126,15.0,0.78044922492882,230
0.01562190055847168,3300311,25.0,1.0,279
0.011354684829711914,3311925,25.0,1.0,284
0.011717796325683594,3323668,25.0,1.0,282
0.01179051399230957,3335199,15.0,0.7760202467573553,282
0.019190073013305664,3347170,25.0,1.0,298
0.01129293441772461,3358933,25.0,1.0,282
0.007406473159790039,3370196,15.0,0.7832964251819045,221
0.007801055908203125,3381677,25.0,1.0,278
0.01143026351928711,3394127,25.0,1.0,273
0.027560710906982422,3405673,10.0,0.5684909838658653,163
0.019343137741088867,3417418,25.0,1.0,275
0.007916450500488281,3430177,25.0,1.0,331
0.015427112579345703,3443122,25.0,1.0,300
0.020024776458740234,3456049,25.0,1.0,276
0.018796920776367188,3468956,25.0,1.0,278
0.0152435302734375,3481777,25.0,1.0,269
0.019327640533447266,3494686,25.0,1.0,289
0.01593303680419922,3507586,25.0,1.0,289
0.015197277069091797,3520461,25.0,1.0,271
0.020191431045532227,3533342,25.0,1.0,293
0.04364776611328125,3546636,25.0,1.0,292
0.011914730072021484,3559540,15.0,0.7817146472635242,300
0.01936936378479004,3572366,25.0,1.0,269
0.015467166900634766,3585172,25.0,1.0,271
0.011558771133422852,3598017,25.0,1.0,281
0.015064001083374023,3610792,25.0,1.0,265
0.01569080352783203,3623229,12.0,0.6469471686175261,176
0.015203475952148438,3635984,25.0,1.0,268
0.008095264434814453,3648896,25.0,1.0,306
0.01890420913696289,3661702,25.0,1.0,268
0.0189359188079834,3674567,25.0,1.0,279
0.019060611724853516,3687343,25.0,1.0,268
0.015277862548828125,3700135,25.0,1.0,266
0.011809110641479492,3712778,25.0,1.0,268
0.015564203262329102,3725531,25.0,1.0,269
0.019121170043945312,3738321,25.0,1.0,267
0.011971712112426758,3751057,25.0,1.0,266
0.018859386444091797,3763522,25.0,1.0,266
0.008770465850830078,3776363,25.0,1.0,294
0.00802302360534668,3789349,25.0,1.0,270
0.026422739028930664,3802751,25.0,1.0,267
0.024271726608276367,3817610,25.0,1.0,474
0.017067432403564453,3830520,15.0,0.78044922492882,239
0.01789999008178711,3843124,25.0,1.0,268
0.014089822769165039,3855913,25.0,1.0,271
0.026906490325927734,3869539,25.0,1.0,291
0.03382253646850586,3882994,25.0,1.0,269
0.01759624481201172,3895654,25.0,1.0,270
0.017964601516723633,3908678,25.0,1.0,270
0.014647722244262695,3921285,25.0,1.0,267
0.018157958984375,3934459,25.0,1.0,268
0.007279872894287109,3947178,15.0,0.7813982916798482,257
0.031081438064575195,3960551,25.0,1.0,269
0.023888111114501953,3974001,15.0,0.7801328693451439,268
0.010674476623535156,3986869,25.0,1.0,272
0.011044502258300781,3999669,25.0,1.0,268
0.022107362747192383,4013262,25.0,1.0,288
0.03985881805419922,4026753,25.0,1.0,270
0.006950855255126953,4039627,15.0,0.7836127807655805,218
0.024626731872558594,4052415,11.0,0.6175260993356533,167
0.05071711540222168,4065882,25.0,1.0,273
0.04335975646972656,4079331,25.0,1.0,270
0.01767563819885254,4092738,25.0,1.0,274
